Real Image,Fake Image,SSIM,MSE,PSNR,MAE,PCC
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide09_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide09_Section03_yp0_patch01_real_A_fake.png,0.307,8887.169,8.643,72.943,0.572
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide10_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide10_Section01_yp0_patch01_real_A_fake.png,0.261,9642.439,8.289,81.1,0.481
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide10_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide10_Section02_yp0_patch01_real_A_fake.png,0.299,9326.579,8.434,77.683,0.531
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide10_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide10_Section03_yp0_patch01_real_A_fake.png,0.296,8750.735,8.71,73.186,0.544
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide11_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide11_Section01_yp0_patch01_real_A_fake.png,0.285,7821.216,9.198,70.008,0.503
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide11_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide11_Section02_yp0_patch01_real_A_fake.png,0.301,8116.678,9.037,72.541,0.509
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide11_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide11_Section03_yp0_patch01_real_A_fake.png,0.279,8743.71,8.714,76.547,0.488
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide12_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide12_Section01_yp0_patch01_real_A_fake.png,0.267,8176.845,9.005,70.026,0.506
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide12_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide12_Section02_yp0_patch01_real_A_fake.png,0.291,9662.822,8.28,77.191,0.539
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide12_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-27-Slide12_Section03_yp0_patch01_real_A_fake.png,0.32,8162.178,9.013,71.056,0.536
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-44-Slide03_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-44-Slide03_Section01_yp0_patch01_real_A_fake.png,0.463,4426.686,11.67,46.935,0.659
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-44-Slide03_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-44-Slide03_Section02_yp0_patch01_real_A_fake.png,0.454,4800.571,11.318,49.129,0.649
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-44-Slide03_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-44-Slide03_Section03_yp0_patch01_real_A_fake.png,0.357,7392.06,9.443,66.127,0.563
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-44-Slide04_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-44-Slide04_Section01_yp0_patch01_real_A_fake.png,0.464,4671.644,11.436,51.027,0.645
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-44-Slide04_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-44-Slide04_Section02_yp0_patch01_real_A_fake.png,0.335,7340.466,9.474,65.574,0.552
Averages,,0.286,9334.773,8.603,80.103,0.479
